epoch,train_acc,test_acc
1,0.06987691817381193,0.1251
2,0.17161924553954083,0.1983
3,0.22352541560102301,0.2321
4,0.26017822893074405,0.2611
5,0.28925031968547255,0.282
6,0.3091552110431749,0.3015
7,0.331174072935758,0.3241
8,0.3503516624345804,0.3349
9,0.36958120203079164,0.3447
10,0.3836756713707429,0.3528
11,0.3962955562507405,0.3742
12,0.4107456841432225,0.386
13,0.42312579927846905,0.3862
14,0.4334478901170404,0.4049
15,0.44337436061381075,0.4146
16,0.45116687979539644,0.4182
17,0.46174472509442693,0.4228
18,0.4690297314578005,0.4297
19,0.477241847826087,0.4352
20,0.4824328644348837,0.441
21,0.48850303713013143,0.4465
22,0.4919876918158568,0.4486
23,0.4987452046188247,0.4585
24,0.5038922634118658,0.4572
25,0.5045276534221971,0.4528
